indicator,date,rate
high,2023-04-21 15:49:00,105.645
low,2023-04-21 15:49:00,105.61
close,2023-04-21 15:49:00,105.63
open,2023-04-21 15:48:00,105.62
high,2023-04-21 15:48:00,105.65
low,2023-04-21 15:48:00,105.6
close,2023-04-21 15:48:00,105.63
open,2023-04-21 15:47:00,105.66
high,2023-04-21 15:47:00,105.66
low,2023-04-21 15:47:00,105.59
close,2023-04-21 15:47:00,105.615
open,2023-04-21 15:46:00,105.65
high,2023-04-21 15:46:00,105.725
low,2023-04-21 15:46:00,105.645
close,2023-04-21 15:46:00,105.66
open,2023-04-21 15:45:00,105.59
high,2023-04-21 15:45:00,105.67
low,2023-04-21 15:45:00,105.58
close,2023-04-21 15:45:00,105.6499
open,2023-04-21 15:44:00,105.555
high,2023-04-21 15:44:00,105.64
low,2023-04-21 15:44:00,105.55
close,2023-04-21 15:44:00,105.59
open,2023-04-21 15:43:00,105.63
high,2023-04-21 15:43:00,105.6655
low,2023-04-21 15:43:00,105.56
close,2023-04-21 15:43:00,105.56
open,2023-04-21 15:42:00,105.605
high,2023-04-21 15:42:00,105.67
low,2023-04-21 15:42:00,105.605
close,2023-04-21 15:42:00,105.635
open,2023-04-21 15:41:00,105.63
high,2023-04-21 15:41:00,105.64
low,2023-04-21 15:41:00,105.59
close,2023-04-21 15:41:00,105.6
open,2023-04-21 15:40:00,105.7
high,2023-04-21 15:40:00,105.7
low,2023-04-21 15:40:00,105.63
close,2023-04-21 15:40:00,105.63
open,2023-04-21 15:39:00,105.73
high,2023-04-21 15:39:00,105.745
low,2023-04-21 15:39:00,105.71
close,2023-04-21 15:39:00,105.71
open,2023-04-21 15:38:00,105.705
high,2023-04-21 15:38:00,105.73
low,2023-04-21 15:38:00,105.69
close,2023-04-21 15:38:00,105.73
open,2023-04-21 15:37:00,105.68
high,2023-04-21 15:37:00,105.73
low,2023-04-21 15:37:00,105.67
close,2023-04-21 15:37:00,105.7005
open,2023-04-21 15:36:00,105.635
high,2023-04-21 15:36:00,105.68
low,2023-04-21 15:36:00,105.625
close,2023-04-21 15:36:00,105.68
open,2023-04-21 15:35:00,105.66
high,2023-04-21 15:35:00,105.69
low,2023-04-21 15:35:00,105.635
close,2023-04-21 15:35:00,105.635
open,2023-04-21 15:34:00,105.735
high,2023-04-21 15:34:00,105.74
low,2023-04-21 15:34:00,105.645
close,2023-04-21 15:34:00,105.66
open,2023-04-21 15:33:00,105.71
high,2023-04-21 15:33:00,105.73
low,2023-04-21 15:33:00,105.68
close,2023-04-21 15:33:00,105.725
open,2023-04-21 15:32:00,105.64
high,2023-04-21 15:32:00,105.72
low,2023-04-21 15:32:00,105.63
close,2023-04-21 15:32:00,105.71
